WinnerName,WinnerAge,winner_Height,winner_Weight,winner_Reach,winner_Stance,winner_DOB,WinningDate,title_bout
Alexander Volkanovski,29.0,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",2018-02-10,False
Jussier Formiga,32.0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",2018-02-10,False
Ross Pearson,33.0,"5' 8""",155 lbs.,"69""",Orthodox,"Sep 26, 1984",2018-02-10,False
Jose Quinonez,27.0,"5' 8""",135 lbs.,"69""",,"Jul 28, 1990",2018-02-10,False
Luke Jumeau,29.0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 12, 1988",2018-02-10,False
Lyoto Machida,39.0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2018-02-03,False
Michel Prazeres,36.0,"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981",2018-02-03,False
Tim Johnson,32.0,"6' 3""",265 lbs.,"77""",Southpaw,"Mar 13, 1985",2018-02-03,False
Douglas Silva de Andrade,32.0,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 22, 1985",2018-02-03,False
Thiago Santos,34.0,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",2018-02-03,False
Sergio Moraes,35.0,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2018-02-03,False
Alan Patrick,34.0,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",2018-02-03,False
Iuri Alcantara,37.0,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2018-02-03,False
Deiveson Figueiredo,30.0,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",2018-02-03,False
Jacare Souza,38.0,"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",2018-01-27,False
Andre Fili,27.0,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",2018-01-27,False
Gregor Gillespie,31.0,"5' 7""",155 lbs.,"71""",Orthodox,"Nov 13, 1986",2018-01-27,False
Drew Dober,29.0,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",2018-01-27,False
Bobby Green,31.0,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",2018-01-27,False
Mirsad Bektic,26.0,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",2018-01-27,False
Katlyn Chookagian,29.0,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988",2018-01-27,False
Randa Markos,32.0,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",2018-01-27,False
Ji Yeon Kim,28.0,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989",2018-01-27,False
Vinc Pichel,35.0,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",2018-01-27,False
Niko Price,28.0,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",2018-01-27,False
Stipe Miocic,35.0,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",2018-01-20,True
Daniel Cormier,38.0,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",2018-01-20,True
Calvin Kattar,29.0,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",2018-01-20,False
Gian Villante,32.0,"6' 3""",205 lbs.,"76""",Orthodox,"Aug 18, 1985",2018-01-20,False
Rob Font,30.0,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",2018-01-20,False
Abdul Razak Alhassan,32.0,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985",2018-01-20,False
Dustin Ortiz,29.0,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 25, 1988",2018-01-20,False
Islam Makhachev,26.0,"5' 10""",155 lbs.,"70""",Orthodox,"Oct 27, 1991",2018-01-20,False
Jeremy Stephens,31.0,"5' 8""",145 lbs.,"71""",Orthodox,"May 25, 1986",2018-01-14,False
Jessica-Rose Clark,30.0,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 28, 1987",2018-01-14,False
